original_url,resolved_url,status_code
https://www.austin-rapp.com/shareholders/wesley-l-austin,https://austin-rapp.com/shareholders/wesley-l-austin/,200
https://www.austin-rapp.com/shareholders/wesley-l-austin,https://austin-rapp.com/shareholders/wesley-l-austin/,200
https://www.austin-rapp.com/shareholders/wesley-l-austin,https://austin-rapp.com/shareholders/wesley-l-austin/,200
https://www.michaelbest.com/People/Christopher-B-Austin,https://www.michaelbest.com/People/Christopher-B-Austin,404
https://www.michaelbest.com/People/Christopher-B-Austin,https://www.michaelbest.com/People/Christopher-B-Austin,404
https://www.michaelbest.com/People/Christopher-B-Austin,https://www.michaelbest.com/People/Christopher-B-Austin,404
https://www.martindale.com/attorney/james-exon-austin-167572/,https://www.martindale.com/attorney/ramon-rossi-lopez-167572/,200
https://www.wavsip.com/people/,https://www.wavsip.com/people/,200
https://www.martindale.com/attorney/james-exon-austin-167572/,https://www.martindale.com/attorney/ramon-rossi-lopez-167572/,200
https://www.martindale.com/attorney/james-exon-austin-167572/,https://www.martindale.com/attorney/ramon-rossi-lopez-167572/,200
https://www.reinhartlaw.com/people/joel-a-austin,https://www.reinhartlaw.com/people/joel-a-austin,200
https://www.reinhartlaw.com/people/joel-a-austin,https://www.reinhartlaw.com/people/joel-a-austin,200
https://www.reinhartlaw.com/people/joel-a-austin,https://www.reinhartlaw.com/people/joel-a-austin,200
https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEyq-M3TGkkD0JqCDCpH-Gd9WQFuuCHYk6TrruDr1k0oOfKsdmk25ErRVeSlSHQ94SiXGpYHS4JqPFmCGxQl-BaQFdeKD1i6qcm0sshwZyXfmxNfRFRn3gPYynpkcxeZVSk5OGXLrKVn9tMLjwLm-Q25Q==,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEyq-M3TGkkD0JqCDCpH-Gd9WQFuuCHYk6TrruDr1k0oOfKsdmk25ErRVeSlSHQ94SiXGpYHS4JqPFmCGxQl-BaQFdeKD1i6qcm0sshwZyXfmxNfRFRn3gPYynpkcxeZVSk5OGXLrKVn9tMLjwLm-Q25Q==,404
https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEyq-M3TGkkD0JqCDCpH-Gd9WQFuuCHYy6TrruDr1k0oOfKsdmk25ErRVeSlSHQ94SiXGpYHS4JqPFmCGxQl-BaQFdeKD1i6qcm0sshwZyXfmxNfRFRn3gPYynpkcxeZVSk5OGXLrKVn9tMLjwLm-Q25Q==,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEyq-M3TGkkD0JqCDCpH-Gd9WQFuuCHYy6TrruDr1k0oOfKsdmk25ErRVeSlSHQ94SiXGpYHS4JqPFmCGxQl-BaQFdeKD1i6qcm0sshwZyXfmxNfRFRn3gPYynpkcxeZVSk5OGXLrKVn9tMLjwLm-Q25Q==,404
https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEyq-M3TGkkD0JqCDCpH-Gd9WQFuuCHYk6TrruDr1k0oOfKsdmk25ErRVeSlSHQ94SiXGpYHS4JqPFmCGxQl-BaQFdeKD1i6qcm0sshwZyXfmxNfRFRn3gPYynpkcxeZVSk5OGXLrKVn9tMLjwLm-Q25Q==,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEyq-M3TGkkD0JqCDCpH-Gd9WQFuuCHYk6TrruDr1k0oOfKsdmk25ErRVeSlSHQ94SiXGpYHS4JqPFmCGxQl-BaQFdeKD1i6qcm0sshwZyXfmxNfRFRn3gPYynpkcxeZVSk5OGXLrKVn9tMLjwLm-Q25Q==,404
https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEyq-M3TGkkD0JqCDCpH-Gd9WQFuuCHYk6TrruDr1k0oOfKsdmk25ErRVeSlSHQ94SiXGpYHS4JqPFmCGxQl-BaQFdeKD1i6qcm0sshwZyXfmxNfRFRn3gPYynpkcxeZVSk5OGXLrKVn9tMLjwLm-Q25Q==,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEyq-M3TGkkD0JqCDCpH-Gd9WQFuuCHYk6TrruDr1k0oOfKsdmk25ErRVeSlSHQ94SiXGpYHS4JqPFmCGxQl-BaQFdeKD1i6qcm0sshwZyXfmxNfRFRn3gPYynpkcxeZVSk5OGXLrKVn9tMLjwLm-Q25Q==,404
https://www.taftlaw.com/people/stephen-r-auten,https://www.taftlaw.com/people/stephen-r-auten,403
https://www.taftlaw.com/people/stephen-r-auten,https://www.taftlaw.com/people/stephen-r-auten,403
